word	segments	num_segments	lemma	pos	prefixes	root	suffixes	sentence
pidelläänköhän	pidel-lään-kö-hän	4	pidellä	VERB		pidel	lään-kö-hän	Pidelläänköhän tätä esinettä varovasti?
todennäköisenä	toden-näköise-nä	3	todennäköinen	ADJ	toden	näköise	nä	Pidän hyvin todennäköisenä, että hän voittaa kilpailun.
pitäisikö	pitä-isi-kö	3	pitää	AUX		pitä	isi-kö	Pitäisikö meidän mennä elokuviin tänä iltana?
kannattaa	kannatta-a	2	kannattaa	VERB		kannatta	a	Poiju kannattaa laituria veden päällä.
vaalikaudella	vaali-kaude-lla	3	vaalikausi	NOUN	vaali	kaude	lla	Presidentti teki merkittäviä päätöksiä viime vaalikaudella.
erityisrahoituksella	erityis-rahoitukse-lla	3	erityisrahoitus	NOUN	erityis	rahoitus	lla	Projekti toteutettiin erityisrahoituksella.
punaviinien	puna-viin-i-en	4	punaviini	NOUN	puna	viin	i-en	Punaviinien maistelu on yksi suosikkiharrastuksistani.
pystyisinköhän	pysty-isi-n-kö-hän	5	pystyä	VERB		pysty	isi-n-kö-hän	Pystyisinköhän tekemään tämän työn yksin?
pystyisköhän	pysty-is-kö-hän	4	pystyä	AUX		pysty	is-kö-hän	Pystyisköhän hän auttamaan minua tässä projektissa?
päädyinköhän	päädy-i-n-kö-hän	5	päätyä	VERB		päädy	i-n-kö-hän	Päädyinköhän todella tänne ilman karttaa?
pääsisinköhän	pääs-isi-n-kö-hän	5	päästä	VERB		pääs	isi-n-kö-hän	Pääsisinköhän huomenna jo töistä aikaisemmin kotiin?
päästäänköhän	pääst-ään-kö-hän	4	päästä	VERB		pääst	ään-kö-hän	Päästäänköhän me tänään jo kotiin?
raskaimmillaankin	raska-imm-i-lla-an-kin	6	raskas	ADV		raska	imm-i-lla-an-kin	Raskaimmillaankin työ oli silti aina mukavaa ja mielekästä.
rohkeimmillaankin	rohke-imm-i-lla-an-kin	6	rohkea	ADV		rohke	imm-i-lla-an-kin	Rohkeimmillaankin hän epäröi ennen kuin astui sisään pimeään luolaan.
saavatkohan	saa-vat-ko-han	4	saada	VERB		saa	vat-ko-han	Saavatkohan he koskaan tietää totuuden?
sainkohan	sa-i-n-ko-han	5	saada	VERB		sa	i-n-ko-han	Sainkohan minä kaikki tarvittavat tiedot?
sainpas	sa-i-n-pas	4	saada	VERB		sa	i-n-pas	Sainpas vihdoin tuon työprojektin valmiiksi.
saitkohan	sa-i-t-ko-han	5	saada	VERB		sa	i-t-ko-han	Saitkohan sinä sen kirjeen, jonka lähetin?
sanoinkohan	sano-i-n-ko-han	5	sanoa	VERB		sano	i-n-ko-han	Sanoinkohan sen oikein?
sanoiskohan	sano-is-ko-han	4	sanoa	VERB		sano	is-ko-han	Sanoiskohan hän minulle totuuden, jos kysyisin suoraan?
sanotaanpas	sano-taan-pas	3	sanoa	VERB		sano	taan-pas	Sanotaanpas, että meillä on kaikki tarvittava onnistuneeseen päivään.
selviävätköhän	selviä-vät-kö-hän	4	selvitä	VERB		selviä	vät-kö-hän	Selviävätköhän he tästä tilanteesta?
ollaankin	ol-laan-kin	3	olla	VERB		ol	laan-kin	Siellä ollaankin oltu valmiina jo hyvän aikaa.
ensin	ensi-n	2	ensi	ADV		ens	in	Sinun täytyy ensin oppia kävelemään ennen kuin voit juosta.
suhteutettuna	suhteutet-tu-na	3	suhteuttaa	ADJ		suhteutet	tu-na	Suhteutettuna väkilukuun, Suomessa on enemmän metsää kuin missään muussa Euroopan maassa.
suomalaisäänestäjistä	suomalais-äänestäj-i-stä	4	suomalaisäänestäjä	NOUN	suomalais-	äänestäj	i-stä	Suomalaisäänestäjistä suurin osa kannattaa ympäristönsuojelua.
suunnittelevatkohan	suunnittele-vat-ko-han	4	suunnitella	ADV		suunnittele	vat-ko-han	Suunnittelevatkohan he matkaa ulkomaille ensi kesänä?
syyskuussakohan	syys-kuu-ssa-ko-han	5	syyskuu	ADV	syys	kuu	ssa-ko-han	Syyskuussakohan se uusi lukukausi alkaa?
kaksitasokuvauksiaan	kaksi-taso-kuvauks-i-a-an	6	kaksitasokuvais	NOUN	kaksi-taso	kuvauks	i-a-an	Taiteilija esitteli uusimpia kaksitasokuvauksiaan näyttelyssä.
tajusivatkohan	tajus-i-vat-ko-han	5	tajuta	VERB		tajus	i-vat-ko-han	Tajusivatkohan he mitä oikein tapahtui?
keskiviikkona	keskiviikko-na	2	keskiviikko	NOUN		keskiviikko	na	Tapasin hänet keskiviikkona kaupungilla.
maanantaina	maanantai-na	2	maanantai	NOUN		maanantai	na	Tapasin hänet maanantaina kaupungilla.
tarvinneekohan	tarvin-ne-e-ko-han	5	tarvita	VERB		tarvin	ne-e-ko-han	Tarvinneekohan meidän ostaa lisää maitoa kaupasta?
luokitellaankin	luokitel-laan-kin	3	luokitella	VERB		luokitel	laan-kin	Tehtävä ei ole monimutkainen ja se luokitellaankin usein helpoksi.
tehtävätkin	tehtävä-t-kin	3	tehtävä	NOUN		tehtävä	t-kin	Tehtävätkin tuntuvat vaikealta, kun huoneessa on kuuma.
tiedätteköhän	tiedä-tte-kö-hän	4	tietää	ADV		tiedä	tte-kö-hän	Tiedätteköhän, missä lähin ruokakauppa on?
salaukset	salauk-set	2	salaus	NOUN		salauk	set	Tietokoneiden salaukset ovat tärkeitä tietoturvan kannalta.
tietoverkkojen	tieto-verkko-j-en	4	tietoverkko	NOUN	tieto	verkko	j-en	Tietoverkkojen turvallisuus on nyky-yhteiskunnassa erittäin tärkeää.
toimiiko	toimi-i-ko	3	toimia	VERB		toimi	i-ko	Toimiiko uusi tietokoneesi kunnolla?
toukokuun	touko-kuu-n	3	toukokuu	NOUN	touko	kuu	n	Toukokuun kymmenes päivä on äitienpäivä.
tulinpas	tul-i-n-pas	4	tulla	VERB		tul	i-n-pas	Tulinpas myöhään kotiin eilen illalla.
tulkaapas	tul-kaa-pas	3	tulla	VERB		tul	kaa-pas	Tulkaapas tänne, minulla on teille jotain näytettävää.
säännönmukaisuuksia	säännön-mukaisuuks-i-a	4	säännönmukaisuus	NOUN	säännö-n	mukaisuuks	i-a	Tutkimuksessa havaittiin useita säännönmukaisuuksia ilmiöiden välillä.
kehitettyjen	kehitet-ty-j-en	4	kehittää	ADJ		kehitet	ty-j-en	Tämä ohjelmisto on yksi viimeisimmistä kehitettyjen joukossa.
yksinkertaista	yksinkertais-ta	2	yksinkertainen	ADJ		yksinkertais	ta	Tämä on hyvin yksinkertaista.
pidettyjen	pidet-ty-j-en	4	pitää	ADJ		pidet	ty-j-en	Tämä on jo pidettyjen konferenssien osoite.
muillekin	mu-i-lle-kin	4	muu	PRON		mu	i-lle-kin	Tämä paikka on tarkoitettu sinulle ja muillekin.
halvimmillaankin	halv-imm-i-lla-an-kin	6	halpa	ADV		halv	imm-i-lla-an-kin	Tämä tuote on halvimmillaankin liian kallis minulle.
säätöä	säätö-ä	2	säätö	NOUN		säätö	ä	Tässä projektissa on ollut todella paljon säätöä.
unohtivatkohan	unoht-i-vat-ko-han	5	unohtaa	VERB		unoht	i-vat-ko-han	Unohtivatkohan he avaimet kotiin?
unohtuukohan	unohtu-u-ko-han	4	unohtua	VERB		unohtu	u-ko-han	Unohtuukohan taas avaimet kotiin?
suurimmillaankin	suur-imm-i-lla-an-kin	6	suuri	ADV		suur	imm-i-lla-an-kin	Vaikka olemme suurimmillaankin vain pieni osa maailmaa, voimme toimia kokoamme suurempana.
hinnakkaimmillaankin	hinnakka-imm-i-lla-an-kin	6	hinnakas	ADV		hinnakka	imm-i-lla-an-kin	Vaikka tuote on hinnakkaimmillaankin laadukas, en ole varma, onko se sen arvoinen.
vanhimmillaankin	vanhimm-i-lla-an-kin	5	vanha	ADV		vanhimm	i-lla-an-kin	Vanhimmillaankin hän on yhä täynnä energiaa ja elämäniloa.
vasemmiston	vasemmisto-n	2	vasemmisto	NOUN		vasemmisto	n	Vasemmiston ehdokas voitti vaalit.
aikoina	aiko-i-na	3	aika	NOUN		aiko	i-na	Viime aikoina olen lukenut paljon kirjoja.
ajateltua	ajatel-tu-a	3	ajatella	PTCP		ajatel	tu-a	Voikin olla paljon ajateltua vaikeampaa kiivetä vuoren päälle.
palkata	palka-ta	2	palkata	VERB		palka	ta	Voimme palkata uuden työntekijän ensi viikolla.
voisivatkohan	voi-si-vat-ko-han	5	voida	AUX		voi	si-vat-ko-han	Voisivatkohan he tulla meille illalliselle?
loitontaa	loiton-taa	2	loitontaa	VERB		loiton	taa	Voit loitontaa karttaa nähdäksesi koko kaupungin.
yksinkertaisella	yksinkertaise-lla	2	yksinkertainen	ADJ		yksinkertaise	lla	Voit ratkaista tämän ongelman yksinkertaisella tavalla.
voitaisiinkohan	voi-ta-isi-in-ko-han	6	voida	AUX		voi	ta-isi-in-ko-han	Voitaisiinkohan mennä elokuviin tänä iltana?
voivatkohan	voi-vat-ko-han	4	voida	VERB		voi	vat-ko-han	Voivatkohan he tulla juhliin myöhässä?
väen	väe-n	2	väki	NOUN		väe	n	Väen määrä kasvoi nopeasti tapahtuman aikana.
väitöskirjantekijöiden	väitös-kirja-n-tekijö-i-den	6	väitöskirjantekijä	NOUN	väitös-kirja-n	tekijö	i-den	Väitöskirjantekijöiden työ on usein pitkä ja monimutkainen prosessi.
yliopistojen	yli-opisto-j-en	4	yliopisto	NOUN	yli	opisto	j-en	Yliopistojen rooli yhteiskunnassa on erittäin tärkeä.
tehtäviä	tehtäv-i-ä	3	tehtävä	NOUN		tehtäv	i-ä	Ylioppilaskirjoituksissa oli viime vuonna paljon vaikeita tehtäviä.
tuotevalikoiman	tuote-valikoima-n	3	tuotevalikoima	NOUN	tuote	valikoima	n	Yrityksen laaja tuotevalikoiman houkuttelee monia asiakkaita.
henkilötyövuoden	henkilö-työ-vuode-n	4	henkilötyövuosi	NOUN	henkilö-työ	vuode	n	Yritys käytti viime vuonna yhteensä 500 henkilötyövuoden verran työvoimaa.
äännevaihteluiden	äänne-vaihtelu-i-den	4	äännevaihtelu	NOUN	äänne	vaihtelu	i-den	Äännevaihteluiden ymmärtäminen on tärkeää suomen kielen oppimisessa.
